i	n
1	984
2	1005
3	1003
4	1012
5	1009
6	1020
7	1025
8	1032
9	1033
10	1037
11	1031
12	1037
13	1027
14	1021
15	1028
16	1027
17	1025
18	1025
19	1023
20	1027
