i	n
1	989
2	1106
3	1109
4	1044
5	1006
6	1146
7	1152
8	1146
9	1152
10	1131
11	1137
12	1145
13	1150
14	1150
15	1155
16	1141
17	1146
18	1150
19	1150
20	1150
